passed,year,adult,popularity,runtime,vote_average,vote_count
0,2011,FALSE,8.062578,108,6.5,848
1,2010,FALSE,1.172363,84,7.9,31
1,2011,FALSE,10.949076,113,5.2,612
1,2011,FALSE,6.167646,104,5.7,139
0,2011,FALSE,5.747681,97,6.2,341
1,2011,FALSE,1.61744,91,5.8,28
1,2011,FALSE,6.340655,88,5.9,321
0,2010,FALSE,4.186599,89,5.2,20
0,2010,FALSE,5.053905,91,5.2,104
1,2011,FALSE,8.244359,106,6.2,1351
1,2011,FALSE,5.356167,102,5.3,186
1,2011,FALSE,8.048422,110,5.5,147
0,2011,FALSE,15.785663,133,7,1409
1,2011,FALSE,11.395112,93,6.8,98
1,2011,FALSE,6.140556,91,6.3,156
1,2010,FALSE,1.064684,94,6.3,14
1,2009,FALSE,2.045691,85,6.6,19
0,2011,FALSE,12.17054,121,6.2,231
1,2007,FALSE,8.895086,93,6.9,78
1,2011,FALSE,0.721192,100,6,11
1,1998,FALSE,89.887648,143,7.4,12000
0,2011,FALSE,7.728737,127,6.6,856
1,2011,FALSE,9.865944,99,6.2,589
0,2011,FALSE,13.121626,140,7.7,1297
0,2009,FALSE,2.719197,89,5.5,41
1,2011,FALSE,1.175325,100,6.9,9
0,2011,FALSE,6.82647,101,6.5,924
1,2011,FALSE,15.014569,95,6,214
0,2011,FALSE,8.046632,116,6.1,703
0,2011,FALSE,11.869481,100,7,1287
0,2011,FALSE,11.440948,100,7.3,1075
1,2011,FALSE,1.349971,107,7.4,24
1,2011,FALSE,5.59686,120,7.1,479
1,2011,FALSE,5.812898,92,6,82
1,2008,FALSE,0.624313,87,7.3,4
0,2011,FALSE,19.265552,127,6.6,2749
0,2003,FALSE,0.289621,99,6.7,6
1,2011,FALSE,4.778934,89,5.7,76
1,2011,FALSE,6.162257,113,6.4,438
1,2011,FALSE,10.169411,103,6,876
0,2011,FALSE,4.548774,93,7.3,124
1,2011,FALSE,7.665011,101,6.7,278
1,2011,FALSE,5.325574,112,7.4,687
0,2011,FALSE,6.303466,110,5.6,945
0,2011,FALSE,10.324613,109,6.7,3512
1,2010,FALSE,5.829953,100,7.3,34
1,2011,FALSE,5.113573,149,6.1,86
1,2011,FALSE,8.844835,80,7,760
0,2011,FALSE,8.340757,107,6.7,531
1,2011,FALSE,10.996308,83,5.9,685
1,2011,FALSE,8.98296,127,7.9,292
1,2011,FALSE,7.174869,106,6.2,205
1,2009,FALSE,0.452088,88,6.5,3
1,2011,FALSE,10.668658,101,6,1026
0,2011,FALSE,10.512109,106,5.6,987
0,2011,FALSE,10.710831,118,6.7,275
0,2011,FALSE,11.72049,100,7,897
1,2011,FALSE,9.995617,84,5.8,401
1,2011,FALSE,5.031094,64,7.1,255
0,2007,FALSE,1.516288,80,4.6,4
0,1996,FALSE,0.873375,117,6.1,7
0,2011,FALSE,7.762917,104,5.8,945
0,2011,FALSE,5.498819,98,5.8,226
0,2011,FALSE,19.201504,107,6.7,2095
1,2011,FALSE,12.892982,82,7.2,181
1,2011,FALSE,14.046164,126,7,2197
1,2011,FALSE,1.137468,109,5.3,14
0,2011,FALSE,10.363671,110,5.7,898
1,2011,FALSE,6.620033,91,4,619
0,1999,FALSE,3.674758,98,5.8,82
0,2011,FALSE,4.993565,95,7.4,73
0,2010,FALSE,0.91351,102,6.4,8
1,2011,FALSE,3.496577,119,6.2,37
0,2011,FALSE,5.276685,129,6,75
1,2011,FALSE,11.794753,115,6.7,956
1,2011,FALSE,8.002786,90,6.5,386
0,2011,FALSE,10.214369,103,6.5,509
1,2011,FALSE,25.9725,117,5.8,2622
0,2011,FALSE,8.166363,146,7,1016
0,2011,FALSE,10.110504,120,5.6,391
1,2011,FALSE,12.203066,99,6.6,418
1,2009,FALSE,0.351875,94,4,1
1,2016,FALSE,5.197424,97,7.1,7
0,2011,FALSE,4.727171,96,7.5,164
0,2011,FALSE,2.07741,143,7,33
0,2011,FALSE,10.298762,141,6.6,50
1,2011,FALSE,13.105682,81,5.4,330
0,2011,FALSE,8.453796,97,6.7,340
1,2009,FALSE,6.756741,92,6.2,22
1,2011,FALSE,8.132748,87,6.2,261
0,2012,FALSE,8.26008,92,5.2,490
1,2012,FALSE,14.881566,103,6.1,2940
1,2012,FALSE,20.031667,142,6.9,9634
1,2010,FALSE,7.279917,111,5.9,95
0,2007,FALSE,0.307397,76,5.6,6
0,2012,FALSE,20.58258,165,7.6,9263
